time [h],X,,N,,Suc,,FruGlu,,X2,,P,,,,,,,,,,,
time,values,errors,values,errors,values,errors,values,errors,values,errors,values,errors,,,,,,,,,,
0,1.8500,0.115470054,0.762155059,0.044261099,61.957,0.25146239,12.30333333,0.058603016,0,0.001,0,0.0100,,,,time,Xa,N,S,FG,Xi,MA
2.116666667,1.8667,0.305505046,0.743758213,0.043192727,56.942,0.127410099,16.47333333,0.051121927,0,0.001,0,0.0100,,,,0,1.8500,0.762155059,61.957,12.30333333,0,0
4.083333333,1.9167,0.057735027,0.688567674,0.039987613,48.125,0.278253482,24.675,0.07368675,0,0.001,0,0.0100,,,,2.116666667,1.8667,0.743758213,56.942,16.47333333,0,0
6.266666667,2.6167,0.305505046,0.653088042,0.037927183,28.833,0.315528657,41.15666667,0.302277233,0,0.001,0,0.0100,,,,4.083333333,1.9167,0.688567674,48.125,24.675,0,0
8.1,3.9333,0.825126253,0.545335085,0.031669579,9.250,0.045825757,59.95166667,0.408030779,0,0.001,0,0.0100,,,,6.266666667,2.6167,0.653088042,28.833,41.15666667,0,0
10.08333333,5.2167,0.351188458,0.369250986,0.021443739,0,0.1,70.035,0.176263065,0,0.001,0,0.0100,,,,8.1,3.9333,0.545335085,9.250,59.95166667,0,0
12.11666667,8.5500,0.2,0.056241787,0.003266164,0,0.001,66.36833333,0.253146421,0,0.1,0,0.0100,,,,10.08333333,5.2167,0.369250986,0,70.035,0,0
12.57855096,9.0809,0.2,0,0.01,0,0.001,,,,,0,0.0100,,,,12.11666667,8.5500,0.056241787,0,66.36833333,0,0
14.13333333,9.0809,0.520765507,0,0.001,0,0.001,60.415,0.056435511,3.135787211,0.179829478,,,,,,12.57855096,0.0000,0,0,,,0
16.08333333,9.0809,0.45589385,0,0.001,0,0.001,54.10833333,0.214377525,5.902453878,0.29632509,,,,,,14.13333333,9.0809,0,0,60.415,3.135787211,
19.08333333,9.0809,0.969126235,0,0.001,0,0.001,49.075,0.325620806,9.869120545,1.053248607,,,,,,16.08333333,9.0809,0,0,54.10833333,5.902453878,
20.41666667,9.0809,0.200465311,0,0.001,0,0.001,44.51422,0.580656183,8.019120545,0.177026411,,,,,,19.08333333,9.0809,0,0,49.075,9.869120545,
22.08333333,9.0809,0.142490515,0,0.001,0,0.001,37.4894,0.367969972,12.13578721,0.190425891,3.39938,0.043612397,,,,20.41666667,9.0809,0,0,44.51422,8.019120545,
24.08333333,9.0809,0.147682484,0,0.001,0,0.001,31.06202,0.419649694,10.11912054,0.164567415,4.722586667,0.047494018,,,,22.08333333,9.0809,0,0,37.4894,12.13578721,3.39938
26.08333333,9.0809,0.194681237,0,0.001,0,0.001,24.71987667,0.083310205,11.95245388,0.256243739,6.749346667,0.089142487,,,,24.08333333,9.0809,0,0,31.06202,10.11912054,4.722586667
29.08333333,9.0809,0.144235516,0,0.001,0,0.001,15.84416667,0.280041324,13.25245388,0.210494428,9.126036667,0.021826462,,,,26.08333333,9.0809,0,0,24.71987667,11.95245388,6.749346667
32.08333333,9.0809,0.083581539,0,0.001,0,0.001,8.530973333,0.047402691,13.53578721,0.124585061,12.64006667,0.217598832,,,,29.08333333,9.0809,0,0,15.84416667,13.25245388,9.126036667
35.08333333,9.0809,0.17511598,0,0.001,0,0.001,1.742586667,0.019877476,14.30245388,0.275808995,16.86776333,0.080756176,,,,32.08333333,9.0809,0,0,8.530973333,13.53578721,12.64006667
38.08333333,9.0809,0.077644437,0,0.001,0,0.001,0,0.1,14.55245388,0.124428157,19.74704667,0.21785772,,,,35.08333333,9.0809,0,0,1.742586667,14.30245388,16.86776333
39.83333333,9.0809,0.073723348,0,0.001,0,0.001,0,0.1,14.23578721,0.115573597,20.56318667,0.238491789,,,,38.08333333,9.0809,0,0,0,14.55245388,19.74704667
,,,,,,,,,,,,,,,,39.83333333,9.0809,0,0,0,14.23578721,20.56318667
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,y=ax+b,,a,b,,,,,,,,
,,,,,,,,,,,,,-0.121765966,1.531639413,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,für y=0,,,,,,,,,
,,,,,,,,,,,,,x=,12.57855096,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,y=ax+b,,a,b,,,,,,,,
,,,,,,,,,,,,,1.149377593,-5.376625173,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,für x=12.5785509581221,,,,,,,,,
,,,,,,,,,,,,,y,9.080879455,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
