time,Xa,N,S,FG,Xi,MA
0,1.8500,0.762155059,61.957,12.30333333,0,0
2.116666667,1.8667,0.743758213,56.942,16.47333333,0,0
4.083333333,1.9167,0.688567674,48.125,24.675,0,0
6.266666667,2.6167,0.653088042,28.833,41.15666667,0,0
8.1,3.9333,0.545335085,9.250,59.95166667,0,0
10.08333333,5.2167,0.369250986,0,70.035,0,0
12.11666667,8.5500,0.056241787,0,66.36833333,0,0
12.57855096,9.0809,0,0,65,0,0
14.13333333,9.0809,0,0,60.415,3.135787,0.55607
16.08333333,9.0809,0,0,54.10833333,5.902454,1.2535
19.08333333,9.0809,0,0,49.075,9.869121,2.3264
20.41666667,9.0809,0,0,44.51422,8.019121,2.8033
22.08333333,9.0809,0,0,37.4894,12.13579,3.39938
24.08333333,9.0809,0,0,31.06202,10.11912,4.722587
26.08333333,9.0809,0,0,24.71987667,11.95245,6.749347
29.08333333,9.0809,0,0,15.84416667,13.25245,9.126037
32.08333333,9.0809,0,0,8.530973333,13.53579,12.64007
35.08333333,9.0809,0,0,1.742586667,14.30245,16.86776
38.08333333,9.0809,0,0,0,14.55245,19.74705
39.83333333,9.0809,0,0,0,14.23579,20.56319
